Date,Open,High,Low,Close,Volume
2026-04-15,471.2162853404591,475.69330090498715,460.7371652177625,474.16815185546875,562316.0
2026-04-16,476.33287668179145,482.1382082861799,474.02057518748404,476.2836608886719,419784.0
2026-04-17,478.0055591151623,495.6183861905418,475.64407197397514,491.3873596191406,875001.0
2026-04-20,481.1050470508678,484.6964785703745,476.87402044289774,482.6793518066406,482695.0
2026-04-21,482.53176015591896,489.4194484983548,478.2023620605469,478.2023620605469,530998.0
2026-04-22,475.98848572648507,477.1692443689204,465.9029415844768,466.6900939941406,458903.0
2026-04-23,462.4590726021642,469.986325969782,460.6387489703766,467.5756530761719,562027.0
2026-04-24,462.3115031741143,467.1820649402266,456.8013463030508,464.0826110839844,472376.0
2026-04-27,465.6569421172076,466.64089762088895,458.91684091140246,459.95001220703125,373342.0
2026-04-28,461.0,464.5,454.75,454.75,507456.0
2026-04-29,452.6000061035156,453.3500061035156,445.3999938964844,448.45001220703125,482053.0
2026-04-30,444.8500061035156,452.29998779296875,440.0,451.3999938964844,663061.0
2026-05-04,453.5,455.3500061035156,443.20001220703125,444.95001220703125,639945.0
2026-05-05,442.04998779296875,453.1499938964844,441.25,450.95001220703125,467424.0
2026-05-06,455.0,479.8500061035156,454.1000061035156,474.0,755072.0
2026-05-07,477.45001220703125,493.5,476.6499938964844,478.29998779296875,625472.0
2026-05-08,474.0,477.45001220703125,471.5,472.70001220703125,338602.0
2026-05-11,470.3500061035156,471.6000061035156,450.0,452.0,683161.0
2026-05-12,451.0,460.95001220703125,449.79998779296875,453.04998779296875,494592.0
2026-05-13,452.20001220703125,454.3999938964844,444.75,452.29998779296875,556573.0
2026-05-14,456.8500061035156,462.54998779296875,453.79998779296875,460.8500061035156,461620.0
2026-05-15,454.5,459.79998779296875,452.79998779296875,455.6000061035156,530300.0
2026-05-18,445.75,461.25,444.3500061035156,456.25,488335.0
2026-05-19,456.04998779296875,465.8500061035156,454.6000061035156,462.0,528303.0
2026-05-20,460.70001220703125,480.0,458.8500061035156,473.79998779296875,574600.0
2026-05-21,472.8999938964844,480.6000061035156,468.54998779296875,473.54998779296875,569293.0
2026-05-22,481.0,484.5249938964844,469.79998779296875,472.6000061035156,433313.0
2026-05-25,476.20001220703125,480.6499938964844,473.95001220703125,477.8999938964844,375016.0
2026-05-26,477.0,477.0,469.1000061035156,469.20001220703125,347337.0
2026-05-27,474.1499938964844,493.1000061035156,473.3999938964844,483.95001220703125,723742.0
2026-05-28,479.75,486.6499938964844,473.95001220703125,480.95001220703125,417341.0
2026-05-29,486.0,491.1000061035156,473.04998779296875,473.04998779296875,1701998.0
2026-06-01,475.29998779296875,482.6499938964844,465.3999938964844,469.79998779296875,621288.0
2026-06-02,473.0,479.75,471.75,475.0,558401.0
2026-06-03,473.3999938964844,475.5,460.8500061035156,460.8500061035156,525369.0
2026-06-04,461.04998779296875,479.95001220703125,460.95001220703125,474.1000061035156,478113.0
2026-06-05,474.70001220703125,484.6000061035156,474.70001220703125,479.04998779296875,526691.0
2026-06-08,473.1499938964844,486.6499938964844,470.54998779296875,482.45001220703125,468807.0
2026-06-09,480.0,496.29998779296875,479.95001220703125,492.29998779296875,565574.0
2026-06-10,496.29998779296875,497.75,485.54998779296875,487.6499938964844,631718.0
2026-06-11,485.75,508.6000061035156,484.0,493.20001220703125,756418.0
2026-06-12,508.0,521.2000122070312,501.1000061035156,510.6000061035156,930219.0
2026-06-15,535.0,537.2000122070312,512.5999755859375,512.5999755859375,872269.0
2026-06-16,512.7999877929688,523.7999877929688,509.79998779296875,520.2999877929688,582796.0
2026-06-17,521.4000244140625,526.4000244140625,509.1000061035156,511.0,644240.0
2026-06-18,507.0,517.5,505.1000061035156,505.1000061035156,858552.0
2026-06-19,510.70001220703125,516.2999877929688,499.25,499.25,1653923.0
2026-06-22,499.20001220703125,501.5,481.3500061035156,481.3500061035156,1100825.0
2026-06-23,478.8500061035156,485.25,475.29998779296875,483.70001220703125,496595.0
2026-06-24,484.6499938964844,495.3999938964844,484.6499938964844,493.0,527249.0
2026-06-25,490.8999938964844,499.79998779296875,487.45001220703125,494.3999938964844,467979.0
2026-06-26,493.45001220703125,498.5,487.20001220703125,495.75,469731.0
2026-06-29,494.45001220703125,496.75,488.3999938964844,492.29998779296875,331762.0
2026-06-30,490.0,491.5,478.54998779296875,484.1000061035156,594173.0
2026-07-01,482.25,483.0,471.3500061035156,481.0,535982.0
2026-07-02,484.54998779296875,502.20001220703125,483.79998779296875,497.95001220703125,496575.0
2026-07-03,495.45001220703125,497.29998779296875,489.25,495.70001220703125,268319.0
2026-07-06,495.6499938964844,503.79998779296875,489.04998779296875,491.3999938964844,310889.0
2026-07-07,497.29998779296875,502.20001220703125,494.6000061035156,495.79998779296875,346975.0
2026-07-08,493.54998779296875,494.6000061035156,480.25,484.8999938964844,562427.0
2026-07-09,486.8500061035156,493.79998779296875,484.6000061035156,492.95001220703125,356874.0
2026-07-10,492.95001220703125,495.1499938964844,486.3500061035156,489.8999938964844,331061.0
2026-07-13,487.8500061035156,494.20001220703125,486.0,491.5,243416.0
2026-07-14,484.6499938964844,486.1000061035156,475.20001220703125,482.95001220703125,293665.0
2026-07-15,497.6499938964844,500.8999938964844,481.1499938964844,495.79998779296875,562182.0
